ID,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
235,NA,1911,1916,0,5,,,PGK,Male,
236,GB,1920,1946,0,26,,,PGK,Male,
237,KK,1908,1946,0,38,,,PGK,Male,
238,CN,1934,1946,0,12,,,PGK,Male,
239,SL,1919,1922,1,3,,1,PGK,Male,1921
240,PB,,,0,,,,PGK,Male,
241,PB,1919,1946,0,27,,,PGK,Male,
242,KN,1909,1922,0,13,,,PGK,Male,
243,DG,,,0,,,,PGK,Male,
244,KJ,,,0,,,,PGK,Male,
245,CB,1909,1946,0,37,,,PGK,Male,
246,HH,1935,1936,1,1,,1,PGK,Male,1935
247,KN,,,1,,,1,PGK,Male,1919
248,GW,1919,1929,1,10,1,,PGK,Male,
249,CB,1941,1946,0,5,,,PGK,Female,
250,CN,1910,1927,0,17,,,PGK,Male,
251,KK,1930,1936,1,6,,1,PGK,Male,1935
252,KK,1919,1920,1,1,,1,PGK,Male,1920
253,SL,1910,1946,0,36,,,PGK,Male,
254,HB,,,0,,,,PGK,Male,
255,KK,1919,1946,0,27,,,PGK,Male,
256,CN,1929,1943,0,14,,,PGK,Male,
257,PB,1926,1927,0,1,,,PGK,Male,
258,HH,1932,1933,1,1,,1,PGK,Male,1932
259,CN,1896,1941,0,45,,,PGK,Male,
260,HN,1902,1936,0,34,,,PGK,Male,
261,KB,1925,1927,1,2,,1,PGK,Male,1926
262,CN,,,1,,,1,PGK,Male,1921
263,KB,1921,1946,0,25,,,PGK,Male,
264,GN,1927,1942,0,15,,,PGK,Male,
265,CN,1921,1924,1,3,,1,PGK,Male,1923
266,KB,1920,1921,1,1,,1,PGK,Male,1920
267,PN,1933,1946,0,13,,,PGK,Male,
268,DG,1924,1925,1,1,,1,PGK,Male,1924
269,PB,,,1,,1,,PGK,Male,
270,DG,1928,1929,1,1,,1,PGK,Male,1928
271,KB,1905,1933,0,28,,,PGK,Male,
272,CN,1942,1946,0,4,,,PGK,Male,
273,DG,1941,1946,0,5,,,PGK,Male,
274,DG,1920,1921,1,1,,1,PGK,Male,1923
275,HB,1919,1931,0,12,,,PGK,Male,
276,PB,1926,1934,1,8,1,,PGK,Male,1933
277,CN,1895,1939,0,44,,,PGK,Male,
278,KK,,,0,,,,PGK,Female,
279,HH,1896,1946,0,50,,,PGK,Male,
280,SL,1905,1946,0,41,,,PGK,Male,
281,NA,1920,1946,0,26,,,PGK,Male,
282,PB,1919,1940,0,21,,,PGK,Male,
283,PB,,,0,,,,PGK,Male,
284,KB,1932,1946,0,14,,,PGK,Male,
285,SL,1945,1946,0,1,,,PGK,Male,
286,CB,1922,1931,1,9,,1,PGK,Male,1930
287,KB,,,1,,,1,PGK,Male,1943
288,CN,1919,1920,1,1,,1,PGK,Male,1921
289,HB,1909,1920,1,11,,1,PGK,Male,
290,PB,1919,1926,1,7,,1,PGK,Male,1925
291,SL,1919,1945,1,26,,1,PGK,Male,1945
292,PB,1907,1946,0,39,,,PGK,Male,
293,KK,1935,1939,1,4,,1,PGK,Male,1938
294,PN,1929,1936,1,7,,1,PGK,Male,1935
295,PB,,,1,,1,,PGK,Male,1941
296,DG,1941,1946,0,5,,,PGK,Male,
297,CN,1933,1946,0,13,,,PGK,Male,
298,GW,1919,1946,0,27,,,PGK,Male,
299,KB,1925,1927,1,2,,1,PGK,Male,1926
300,PB,1926,1946,0,20,,,PGK,Male,
301,NA,,,1,,1,,PGK,Male,1920
302,NA,1934,1946,0,12,,,PGK,Male,
303,PN,1910,1931,0,21,,,PGK,Male,
304,HH,,,1,,,1,PGK,Male,1925
305,HB,1930,1931,1,1,1,,PGK,Male,
306,HN,1933,1938,1,5,1,,PGK,Male,1937
307,SL,1919,1946,0,27,,,PGK,Female,
308,HH,1940,1942,1,2,1,,PGK,Male,1941
309,HB,1924,1946,0,22,,,PGK,Male,
310,PN,1905,1936,1,31,1,,PGK,Male,1935
311,CN,1925,1926,1,1,,1,PGK,Male,1925
312,PN,1936,1937,1,1,,1,PGK,Male,1936
313,PN,,,0,,,,PGK,Male,
314,PB,,,0,,,,PGK,Male,
315,PN,1907,1938,0,31,,,PGK,Male,
316,PS,1916,1946,0,30,,,PGK,Male,
317,GW,1924,1946,0,22,,,PGK,Male,
318,SL,1933,1938,1,5,,1,PGK,Male,1937
319,PB,1919,1946,0,27,,,PGK,Male,
320,GN,1919,1938,0,19,,,PGK,Male,
321,PB,1920,1921,1,1,,1,PGK,Male,1920
322,PB,,,0,,,,PGK,Male,
323,PN,1919,1931,1,12,,1,PGK,Male,1934
324,KN,,,0,,,,PGK,Male,
325,PB,1919,1922,1,3,,1,PGK,Male,1920
326,PB,1926,1927,1,1,,1,PGK,Male,1926
327,CB,1932,1933,1,1,,1,PGK,Male,1932
328,PB,,,1,,,1,PGK,Male,1920
329,KK,1927,1936,0,9,,,PGK,Male,
330,PB,1941,1944,1,3,1,,PGK,Male,1943
331,HH,,,1,,1,,PGK,Male,1938
332,KB,,,0,,,,PGK,Male,
333,PB,1941,1944,0,3,,,PGK,Male,
334,HH,,,0,,,,PGK,Male,
335,HB,1919,1921,1,2,,1,PGK,Male,1920
336,DG,1919,1925,1,6,,1,PGK,Male,1923
337,PB,,,0,,,,PGK,Female,
338,CB,1919,1920,1,1,,1,PGK,Male,1919
339,HH,1909,1911,1,2,,1,PGK,Male,1921
340,PS,,,1,,,1,PGK,Male,1920
341,HB,1919,1920,1,1,,1,PGK,Male,1919
342,KB,1919,1928,1,9,,1,PGK,Male,1927
