,ID,detected,Label,Degree,Eccentricity,Closeness.Centrality,Betweenness.Centrality,Modularity.Class,Authority,Hub,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
78,197,0,197,1,6,0.262921348,0,4,0.002336449,0.002336449,HH,1909,1941,0,32,NA,NA,PGK,Male,NA
79,202,1,202,5,5,0.345132743,0.001556818,5,0.007009346,0.007009346,PB,1919,1920,1,1,NA,1,PGK,Male,1919
80,205,0,205,5,5,0.3556231,0.013673035,4,0.007009346,0.007009346,HH,1909,1940,0,31,NA,NA,PGK,Male,NA
81,206,0,206,28,5,0.473684211,0.136710912,1,0.033878505,0.033878505,PN,1898,1939,1,41,NA,1,PGK,Male,1937
82,207,0,207,14,5,0.413427562,0.011167157,2,0.017523365,0.017523365,PN,1898,1939,0,41,NA,NA,PGK,Male,NA
83,210,0,210,6,5,0.383606557,0.000133,2,0.00817757,0.00817757,PB,1906,1946,0,40,NA,NA,PGK,Male,NA
84,216,0,216,3,6,0.36,0.010521903,9,0.004672897,0.004672897,CB,1919,1946,0,27,NA,NA,PGK,Male,NA
85,219,0,219,1,1,1,0,11,0.002336449,0.002336449,CN,1919,1920,0,1,NA,NA,PGK,Male,NA
86,224,0,224,4,5,0.32320442,0.001086345,5,0.005841122,0.005841122,HN,1919,1928,1,9,NA,1,PGK,Male,1927
87,226,0,226,8,5,0.403448276,0.001588472,2,0.010514019,0.010514019,PB,1895,1946,0,51,NA,NA,PGK,Male,NA
88,237,0,237,2,6,0.3556231,0,4,0.003504673,0.003504673,KK,1908,1946,0,38,NA,NA,PGK,Male,NA
89,239,0,239,1,6,0.314516129,0,0,0.002336449,0.002336449,SL,1919,1922,1,3,NA,1,PGK,Male,1921
90,241,0,241,1,7,0.261744966,0,0,0.002336449,0.002336449,PB,1919,1946,0,27,NA,NA,PGK,Male,NA
91,242,0,242,10,5,0.414893617,0.028309065,0,0.012850467,0.012850467,KN,1909,1922,0,13,NA,NA,PGK,Male,NA
92,245,0,245,7,5,0.387417219,0.002708492,2,0.009345794,0.009345794,CB,1909,1946,0,37,NA,NA,PGK,Male,NA
93,253,0,253,1,6,0.316216216,0,4,0.002336449,0.002336449,SL,1910,1946,0,36,NA,NA,PGK,Male,NA
94,255,0,255,3,6,0.319672131,0.000629,0,0.004672897,0.004672897,KK,1919,1946,0,27,NA,NA,PGK,Male,NA
95,259,0,259,34,4,0.531818182,0.149669091,2,0.04088785,0.04088785,CN,1896,1941,0,45,NA,NA,PGK,Male,NA
96,260,0,260,8,5,0.391304348,0.024203494,2,0.010514019,0.010514019,HN,1902,1936,0,34,NA,NA,PGK,Male,NA
97,271,0,271,7,5,0.384868421,0.013225283,2,0.009345794,0.009345794,KB,1905,1933,0,28,NA,NA,PGK,Male,NA
98,275,0,275,4,5,0.393939394,0.000443,10,0.005841122,0.005841122,HB,1919,1931,0,12,NA,NA,PGK,Male,NA
99,279,0,279,10,5,0.422382671,0.046525999,2,0.012850467,0.012850467,HH,1896,1946,0,50,NA,NA,PGK,Male,NA
100,280,0,280,22,5,0.460629921,0.070742699,4,0.02686916,0.02686916,SL,1905,1946,0,41,NA,NA,PGK,Male,NA
101,288,0,288,1,1,1,0,11,0.002336449,0.002336449,CN,1919,1920,1,1,NA,1,PGK,Male,1921
102,289,0,289,2,6,0.262331839,0.000331,1,0.003504673,0.003504673,HB,1909,1920,1,11,NA,1,PGK,Male,NA
103,290,0,290,10,5,0.381107492,0.020928621,5,0.012850467,0.012850467,PB,1919,1926,1,7,NA,1,PGK,Male,1925
104,292,0,292,7,5,0.388704319,0.01596195,1,0.009345794,0.009345794,PB,1907,1946,0,39,NA,NA,PGK,Male,NA
105,298,0,298,5,6,0.317073171,0.048432227,9,0.007009346,0.007009346,GW,1919,1946,0,27,NA,NA,PGK,Male,NA
106,303,0,303,8,5,0.384868421,0.041651281,4,0.010514019,0.010514019,PN,1910,1931,0,21,NA,NA,PGK,Male,NA
107,310,0,310,5,5,0.373801917,0.00582009,0,0.007009346,0.007009346,PN,1905,1936,1,31,1,NA,PGK,Male,1935
108,315,0,315,3,6,0.329577465,0.007749822,1,0.004672897,0.004672897,PN,1907,1938,0,31,NA,NA,PGK,Male,NA
109,316,0,316,4,5,0.36,0.002626794,3,0.005841122,0.005841122,PS,1916,1946,0,30,NA,NA,PGK,Male,NA
110,319,0,319,3,6,0.317073171,0,5,0.004672897,0.004672897,PB,1919,1946,0,27,NA,NA,PGK,Male,NA
111,320,0,320,1,1,1,0,12,0.002336449,0.002336449,GN,1919,1938,0,19,NA,NA,PGK,Male,NA
112,323,0,323,1,6,0.278571429,0,4,0.002336449,0.002336449,PN,1919,1931,1,12,NA,1,PGK,Male,1934
113,335,0,335,4,5,0.393939394,6.08E-05,10,0.005841122,0.005841122,HB,1919,1921,1,2,NA,1,PGK,Male,1920
114,338,1,338,3,5,0.372611465,0.000151,3,0.004672897,0.004672897,CB,1919,1920,1,1,NA,1,PGK,Male,1919
115,341,0,341,6,4,0.52,0.004570257,10,0.00817757,0.00817757,HB,1919,1920,1,1,NA,1,PGK,Male,1919
116,342,0,342,1,6,0.284671533,0,3,0.002336449,0.002336449,KB,1919,1928,1,9,NA,1,PGK,Male,1927
117,343,0,343,1,8,0.195325543,0,9,0.002336449,0.002336449,CN,1919,1946,0,27,NA,NA,PGK,Female,NA
118,347,0,347,1,6,0.296202532,0,3,0.002336449,0.002336449,CB,1919,1946,0,27,NA,NA,PGK,Male,NA
119,350,0,350,1,6,0.28057554,0,1,0.002336449,0.002336449,PB,1919,1946,0,27,NA,NA,PGK,Male,NA
120,352,0,352,20,5,0.455252918,0.031566811,2,0.024532711,0.024532711,SL,1903,1946,0,43,NA,NA,PGK,Male,NA
121,353,0,353,18,5,0.428571429,0.056054825,3,0.022196261,0.022196261,KK,1911,1946,0,35,NA,NA,PGK,Male,NA
122,358,0,358,9,5,0.403448276,0.00530481,0,0.011682243,0.011682243,SL,1918,1946,0,28,NA,NA,PGK,Male,NA
123,368,0,368,1,6,0.297709924,0,2,0.002336449,0.002336449,PB,1914,1946,0,32,NA,NA,PGK,Male,NA
124,369,0,369,2,5,0.358895706,0.00037,2,0.003504673,0.003504673,PB,1904,1946,0,42,NA,NA,PGK,Male,NA
125,377,0,377,3,5,0.344117647,0.000989,1,0.004672897,0.004672897,PB,1919,1924,1,5,NA,1,PGK,Male,1923
126,379,0,379,2,5,0.36,0,2,0.003504673,0.003504673,HB,1908,1921,1,13,1,NA,PGK,Male,1920
127,381,0,381,20,5,0.45703125,0.045615346,0,0.024532711,0.024532711,SL,1919,1946,1,27,NA,1,PGK,Male,1930
128,383,0,383,1,6,0.300771208,0,3,0.002336449,0.002336449,PN,1943,1946,0,3,NA,NA,PGK,Female,NA
129,387,1,387,1,6,0.254901961,0,10,0.002336449,0.002336449,HB,1919,1920,1,1,NA,1,PGK,Male,1919
130,388,0,388,19,5,0.45,0.028844886,0,0.023364486,0.023364486,PN,1914,1946,0,32,NA,NA,PGK,Male,NA
131,391,0,391,2,6,0.332386364,0,3,0.003504673,0.003504673,PS,1912,1946,0,34,NA,NA,PGK,Male,NA
132,395,0,395,11,5,0.402061856,0.018544564,0,0.014018691,0.014018691,SL,1919,1946,0,27,NA,NA,PGK,Male,NA
133,400,0,400,2,5,0.357798165,0.000412,5,0.003504673,0.003504673,CB,1919,1946,0,27,NA,NA,PGK,Male,NA
134,404,0,404,1,8,0.195325543,0,9,0.002336449,0.002336449,GB,1905,1924,0,19,NA,NA,PGK,Male,NA
135,405,0,405,1,6,0.281927711,0,2,0.002336449,0.002336449,CB,1919,1946,0,27,NA,NA,PGK,Male,NA
136,408,0,408,2,6,0.277251185,0,5,0.003504673,0.003504673,SL,1919,1931,1,12,1,NA,PGK,Male,1930
137,409,0,409,1,6,0.32231405,0,1,0.002336449,0.002336449,HN,1919,1939,0,20,NA,NA,PGK,Male,NA
138,411,0,411,21,5,0.433333333,0.089662166,0,0.025700934,0.025700934,KK,1908,1946,0,38,NA,NA,PGK,Male,NA
139,412,0,412,10,6,0.362229102,0.008328628,0,0.012850467,0.012850467,CB,1908,1946,0,38,NA,NA,PGK,Male,NA
140,414,0,414,1,1,1,0,12,0.002336449,0.002336449,HN,1919,1938,0,19,NA,NA,PGK,Male,NA
